epoch,loss,val_loss
0,39.2292366027832,7.154892921447754
1,33.918190002441406,1.9998129606246948
2,28.054405212402344,-4.109292507171631
3,20.86933708190918,-11.442069053649902
4,12.483030319213867,-20.182897567749023
5,2.1683225631713867,-30.753461837768555
6,-10.022397994995117,-43.616355895996094
7,-25.036535263061523,-59.282325744628906
8,-42.5140495300293,-78.09136199951172
9,-63.95176315307617,-100.6364974975586
10,-90.10724639892578,-127.70068359375
11,-120.92433166503906,-160.06211853027344
12,-156.75315856933594,-198.2225799560547
13,-199.4193115234375,-242.7586212158203
14,-246.64344787597656,-294.25701904296875
15,-302.4912414550781,-353.3150634765625
16,-362.8019714355469,-420.0924987792969
17,-430.0531921386719,-494.3896179199219
18,-501.001220703125,-575.5180053710938
19,-571.4945068359375,-661.105712890625
20,-641.2024536132812,-747.6323852539062
21,-693.3566284179688,-827.0660400390625
22,-733.7440185546875,-892.9268188476562
23,-752.36669921875,-935.83447265625
24,-753.5101928710938,-952.1177368164062
25,-752.5736694335938,-953.4219360351562
26,-765.7941284179688,-950.562255859375
27,-770.0020141601562,-951.5510864257812
28,-767.6224975585938,-951.5921020507812
29,-768.1629028320312,-951.6075439453125
30,-772.0406494140625,-953.4549560546875
31,-779.5822143554688,-961.886962890625
32,-786.781982421875,-970.4694213867188
33,-780.5060424804688,-964.8974609375
34,-781.8477172851562,-964.2681884765625
35,-791.2885131835938,-969.6665649414062
36,-789.1980590820312,-972.6046142578125
37,-794.7627563476562,-975.2210083007812
38,-794.6424560546875,-981.56689453125
39,-804.188232421875,-985.188720703125
40,-810.4019775390625,-989.4115600585938
41,-806.96875,-987.515380859375
42,-804.024658203125,-987.2454223632812
43,-811.6926879882812,-993.257080078125
44,-819.9791259765625,-999.4929809570312
45,-812.753173828125,-1000.3956909179688
46,-820.0130004882812,-996.7269287109375
47,-819.52783203125,-999.0194702148438
48,-822.4190673828125,-1002.158447265625
49,-827.4437255859375,-1008.772705078125
50,-827.2036743164062,-1013.8607177734375
51,-838.1428833007812,-1013.4075317382812
52,-837.0299682617188,-1010.7852783203125
53,-835.8264770507812,-1015.4561767578125
54,-838.3131103515625,-1018.8494873046875
55,-837.7000122070312,-1019.8408203125
56,-842.2384643554688,-1027.2572021484375
57,-847.9547119140625,-1025.466796875
58,-857.6058959960938,-1027.807373046875
59,-849.4985961914062,-1032.90869140625
60,-854.7509765625,-1033.585693359375
61,-856.2670288085938,-1034.975341796875
62,-858.0608520507812,-1033.8935546875
63,-859.8521118164062,-1039.8277587890625
64,-853.2559204101562,-1043.274658203125
65,-861.2032470703125,-1037.6751708984375
66,-865.79052734375,-1043.96484375
67,-871.6951293945312,-1054.38232421875
68,-864.7259521484375,-1049.0830078125
69,-869.5806274414062,-1049.4864501953125
70,-878.0531616210938,-1060.0570068359375
71,-870.59716796875,-1054.8795166015625
72,-877.4892578125,-1055.9366455078125
73,-878.4026489257812,-1060.4873046875
74,-879.7938842773438,-1064.18359375
75,-877.8107299804688,-1061.5899658203125
76,-879.389404296875,-1065.0555419921875
77,-884.2804565429688,-1063.726806640625
78,-887.8724365234375,-1067.6063232421875
79,-886.187255859375,-1070.571533203125
80,-888.1903076171875,-1070.3082275390625
81,-888.2080688476562,-1073.191162109375
82,-887.8113403320312,-1072.0673828125
83,-893.8015747070312,-1078.53955078125
84,-890.0648193359375,-1077.37060546875
85,-892.8624877929688,-1076.109130859375
86,-905.6642456054688,-1082.4769287109375
87,-899.5125732421875,-1085.6142578125
88,-896.7162475585938,-1078.94384765625
89,-901.2125244140625,-1084.1856689453125
90,-900.147705078125,-1081.20361328125
91,-900.8031005859375,-1088.135009765625
92,-901.5791015625,-1087.7783203125
93,-897.2960815429688,-1083.711181640625
94,-895.9000244140625,-1087.683837890625
95,-903.7355346679688,-1092.6353759765625
96,-904.832275390625,-1089.5599365234375
