epoch,loss,val_loss
0,39.94752502441406,5.9159159660339355
1,34.46907043457031,0.4471302330493927
2,27.963153839111328,-5.836071491241455
3,21.444061279296875,-13.156323432922363
4,13.243448257446289,-21.733936309814453
5,3.6877458095550537,-31.92879867553711
6,-8.418902397155762,-44.20439529418945
7,-22.992000579833984,-59.058563232421875
8,-39.037174224853516,-76.8873519897461
9,-60.09211349487305,-98.33206176757812
10,-84.1092529296875,-124.07164001464844
11,-113.67752075195312,-154.89805603027344
12,-148.36509704589844,-191.14402770996094
13,-188.28826904296875,-233.48619079589844
14,-234.12118530273438,-282.64154052734375
15,-288.08636474609375,-339.2331237792969
16,-346.4044189453125,-403.54119873046875
17,-411.34881591796875,-475.63818359375
18,-480.40557861328125,-554.9534301757812
19,-550.4384765625,-639.975830078125
20,-618.2918701171875,-726.7940063476562
21,-675.412109375,-811.2894897460938
22,-718.5249633789062,-885.5308837890625
23,-740.9541625976562,-937.974365234375
24,-739.1953735351562,-963.4036254882812
25,-740.255615234375,-970.5261840820312
26,-749.5535888671875,-965.4022216796875
27,-744.6008911132812,-959.6177368164062
28,-750.6356201171875,-959.368896484375
29,-760.2479248046875,-963.37890625
30,-765.74462890625,-970.3720703125
31,-755.502685546875,-973.8329467773438
32,-764.0565185546875,-972.9254150390625
33,-772.7134399414062,-976.6243286132812
34,-760.82568359375,-978.6839599609375
35,-767.5068969726562,-980.468505859375
36,-771.6484375,-985.006103515625
37,-772.55419921875,-986.748779296875
38,-771.0942993164062,-988.6123657226562
39,-774.8480224609375,-989.3102416992188
40,-774.1073608398438,-991.1781616210938
41,-783.3136596679688,-998.4791259765625
42,-777.233642578125,-995.1088256835938
43,-785.299560546875,-1000.937255859375
44,-788.0010986328125,-1007.663818359375
45,-783.2506713867188,-1004.4747314453125
46,-794.5580444335938,-1013.2529296875
47,-785.4588623046875,-1008.47265625
48,-795.9229125976562,-1011.3526000976562
49,-788.7486572265625,-1014.3408203125
50,-799.046142578125,-1018.44140625
51,-800.8721313476562,-1023.8427124023438
52,-803.4509887695312,-1029.7679443359375
53,-801.1109008789062,-1028.6649169921875
54,-801.8193969726562,-1029.661865234375
55,-810.2972412109375,-1034.087890625
56,-808.5746459960938,-1036.4453125
57,-808.4913330078125,-1036.3382568359375
58,-809.5193481445312,-1040.9306640625
59,-810.8898315429688,-1042.4716796875
60,-820.1039428710938,-1049.6136474609375
61,-827.6175537109375,-1056.486328125
62,-825.9625854492188,-1061.635498046875
63,-821.1903076171875,-1055.2247314453125
64,-827.2177124023438,-1058.633544921875
65,-825.3954467773438,-1062.3734130859375
66,-834.3546752929688,-1072.7366943359375
67,-834.6510009765625,-1075.3394775390625
68,-835.2658081054688,-1068.546142578125
69,-839.5567016601562,-1075.8760986328125
70,-837.9545288085938,-1084.01318359375
71,-837.8873901367188,-1075.1319580078125
72,-840.587646484375,-1081.7822265625
73,-840.5348510742188,-1092.4246826171875
74,-840.5067138671875,-1090.5611572265625
75,-844.8241577148438,-1091.9901123046875
76,-845.4970703125,-1098.89111328125
77,-846.6322631835938,-1096.8492431640625
78,-846.4467163085938,-1104.567626953125
79,-854.115234375,-1106.49560546875
80,-852.28076171875,-1106.4266357421875
81,-855.17431640625,-1110.4586181640625
82,-858.3590087890625,-1114.3665771484375
83,-856.2503662109375,-1113.4981689453125
84,-858.2664794921875,-1119.6083984375
85,-857.9166870117188,-1118.7113037109375
86,-855.5861206054688,-1121.5435791015625
87,-863.2882080078125,-1129.6151123046875
88,-864.9673461914062,-1129.0394287109375
89,-871.4578857421875,-1132.5084228515625
90,-862.8519287109375,-1134.611572265625
91,-874.3521118164062,-1137.2451171875
92,-871.236328125,-1141.20849609375
93,-870.61767578125,-1137.6495361328125
94,-860.7012939453125,-1134.897216796875
95,-868.1648559570312,-1145.4041748046875
96,-870.5731811523438,-1146.0633544921875
97,-872.2240600585938,-1148.90869140625
98,-871.3853759765625,-1149.861083984375
99,-874.5054321289062,-1153.6136474609375
100,-865.9417724609375,-1147.175048828125
101,-867.07177734375,-1149.912109375
102,-875.9691162109375,-1162.140625
103,-870.47216796875,-1156.5760498046875
104,-873.3960571289062,-1162.488037109375
105,-881.125244140625,-1159.9088134765625
106,-869.8263549804688,-1160.071533203125
107,-877.7409057617188,-1167.043701171875
108,-869.4876708984375,-1163.00537109375
109,-885.0480346679688,-1168.6087646484375
110,-877.0220336914062,-1170.4835205078125
111,-878.8709716796875,-1170.1256103515625
112,-870.9366455078125,-1165.3917236328125
113,-877.4592895507812,-1169.8238525390625
114,-876.8989868164062,-1173.5050048828125
115,-875.2400512695312,-1174.2203369140625
116,-878.0333862304688,-1169.110107421875
117,-875.7229614257812,-1173.7794189453125
118,-877.974609375,-1177.6207275390625
119,-878.152099609375,-1173.3939208984375
120,-875.5875854492188,-1174.477294921875
121,-875.6842041015625,-1180.6334228515625
122,-882.5767211914062,-1174.681884765625
123,-884.7015380859375,-1178.5489501953125
124,-880.4342651367188,-1183.3282470703125
125,-876.256103515625,-1180.889404296875
126,-883.9813842773438,-1178.92041015625
127,-881.5278930664062,-1182.2613525390625
128,-879.9266967773438,-1184.99267578125
129,-887.3875732421875,-1185.1988525390625
130,-876.6574096679688,-1180.1534423828125
131,-878.7213134765625,-1184.77685546875
132,-877.962158203125,-1183.3555908203125
133,-878.0440063476562,-1182.821044921875
134,-881.6333618164062,-1185.2373046875
135,-883.1165161132812,-1185.5540771484375
136,-883.413330078125,-1185.2763671875
137,-880.49072265625,-1185.4014892578125
138,-884.6564331054688,-1187.1614990234375
139,-879.5413818359375,-1187.057861328125
140,-882.4431762695312,-1188.0120849609375
141,-882.6974487304688,-1187.7052001953125
142,-880.4398193359375,-1186.1124267578125
143,-887.4479370117188,-1189.62255859375
144,-882.7978515625,-1191.137451171875
145,-880.1347045898438,-1186.05859375
146,-879.16015625,-1186.854248046875
147,-880.3722534179688,-1189.9859619140625
148,-886.8483276367188,-1189.5423583984375
149,-886.6913452148438,-1191.086669921875
150,-881.15478515625,-1187.59814453125
151,-884.0844116210938,-1189.235107421875
152,-878.7640991210938,-1189.5355224609375
153,-879.7398681640625,-1188.403076171875
154,-880.2779541015625,-1191.34765625
155,-885.1777954101562,-1189.8465576171875
156,-884.6939086914062,-1189.61083984375
157,-884.1710815429688,-1189.927734375
158,-885.1959838867188,-1191.0947265625
159,-880.5003662109375,-1190.2567138671875
160,-888.160400390625,-1191.4803466796875
161,-883.45263671875,-1191.5479736328125
162,-881.4840698242188,-1190.130126953125
163,-882.1927490234375,-1191.369140625
164,-877.74560546875,-1190.031494140625
165,-879.6358032226562,-1192.216064453125
166,-883.028076171875,-1192.4676513671875
167,-879.4017333984375,-1191.2574462890625
168,-888.0836181640625,-1192.9407958984375
169,-888.6874389648438,-1191.696533203125
170,-890.7392578125,-1193.521484375
171,-882.3484497070312,-1191.5523681640625
172,-883.0096435546875,-1193.08203125
173,-885.5849609375,-1193.1646728515625
174,-882.1853637695312,-1190.1776123046875
175,-879.7967529296875,-1192.0001220703125
176,-882.156494140625,-1193.544677734375
177,-879.0935668945312,-1188.8233642578125
178,-883.8307495117188,-1193.3321533203125
179,-885.5499267578125,-1193.9205322265625
180,-880.9052124023438,-1190.5908203125
181,-887.1109008789062,-1192.638916015625
182,-884.2035522460938,-1194.3465576171875
183,-886.0384521484375,-1193.3548583984375
184,-885.892822265625,-1191.751953125
185,-884.697265625,-1191.27392578125
186,-886.229248046875,-1195.1885986328125
187,-885.7275390625,-1191.1280517578125
188,-883.7383422851562,-1192.6990966796875
189,-883.5042114257812,-1191.9072265625
190,-883.313720703125,-1190.3555908203125
191,-884.8917236328125,-1193.5189208984375
192,-884.6155395507812,-1192.2933349609375
193,-888.1445922851562,-1191.91845703125
194,-880.1529541015625,-1192.89306640625
195,-886.9576416015625,-1192.8153076171875
196,-882.1030883789062,-1192.6036376953125
197,-881.6591796875,-1191.55517578125
198,-878.9410400390625,-1193.944580078125
199,-884.2396850585938,-1192.0853271484375
200,-887.9950561523438,-1191.9971923828125
201,-889.7457885742188,-1194.2711181640625
202,-881.9686279296875,-1193.1697998046875
203,-884.1653442382812,-1190.2545166015625
204,-886.6426391601562,-1193.2469482421875
205,-880.9140014648438,-1191.122314453125
206,-880.0438232421875,-1192.76318359375
207,-885.1394653320312,-1195.100341796875
208,-884.6351318359375,-1189.246826171875
209,-881.6527099609375,-1192.5260009765625
210,-890.603759765625,-1195.211669921875
211,-887.5653076171875,-1195.295654296875
212,-888.4505615234375,-1192.138916015625
213,-888.8069458007812,-1194.0726318359375
214,-883.4102783203125,-1194.3944091796875
215,-887.0996704101562,-1194.224609375
216,-885.8348388671875,-1194.5042724609375
217,-886.7066040039062,-1193.2523193359375
