epoch,loss,val_loss
0,-426.1422119140625,-520.63330078125
1,-508.5184631347656,-620.4888305664062
2,-658.6437377929688,-807.4732666015625
3,-938.7872924804688,-1155.7471923828125
4,-1448.2415771484375,-1772.6844482421875
5,-2312.250244140625,-2785.477783203125
6,-3607.140380859375,-4123.77490234375
7,-4646.2197265625,-4834.29736328125
8,-4879.4716796875,-5087.353515625
9,-4989.20166015625,-5019.5146484375
10,-5154.99658203125,-5134.06640625
11,-5100.50341796875,-5163.95556640625
12,-5208.251953125,-5179.67236328125
13,-5052.041015625,-5098.03955078125
14,-5160.6748046875,-5155.3818359375
15,-5234.6435546875,-5254.7353515625
16,-5169.11279296875,-5231.4638671875
17,-5170.98291015625,-5169.09765625
18,-5181.31640625,-5172.60693359375
19,-5211.4150390625,-5242.552734375
20,-5203.9365234375,-5192.4287109375
21,-5244.25244140625,-5276.37890625
22,-5158.4423828125,-5176.0107421875
23,-5297.677734375,-5266.80859375
24,-5175.6171875,-5171.591796875
25,-5278.99169921875,-5208.9228515625
26,-5279.16064453125,-5298.1865234375
27,-5254.96044921875,-5280.591796875
28,-5355.24462890625,-5315.6396484375
29,-5136.677734375,-5140.76171875
30,-5194.6904296875,-5153.77587890625
31,-5288.35546875,-5298.20556640625
32,-5204.05078125,-5332.12841796875
33,-5316.20751953125,-5200.73779296875
34,-5166.61474609375,-5238.3876953125
35,-5302.19775390625,-5190.1494140625
36,-5082.1552734375,-5113.80419921875
37,-5263.1943359375,-5296.16015625
38,-5395.43896484375,-5333.23828125
39,-5389.19970703125,-5342.66845703125
40,-5411.5380859375,-5381.615234375
41,-5350.1376953125,-5338.7548828125
42,-5218.29638671875,-5219.17822265625
43,-5177.7216796875,-5231.08642578125
44,-5285.4560546875,-5256.35302734375
45,-5234.77783203125,-5179.34619140625
46,-5293.12841796875,-5274.79345703125
47,-5430.36376953125,-5386.88330078125
48,-5433.3701171875,-5401.47021484375
49,-5451.1015625,-5418.6484375
50,-5424.396484375,-5408.79150390625
51,-5480.927734375,-5454.5068359375
52,-5466.41015625,-5418.8681640625
53,-5491.9326171875,-5451.935546875
54,-5452.9345703125,-5436.271484375
55,-5498.52685546875,-5463.8359375
56,-5473.72900390625,-5448.423828125
57,-5206.56298828125,-5175.32373046875
58,-5301.5751953125,-5256.748046875
59,-5415.048828125,-5416.02197265625
60,-5465.5234375,-5457.177734375
61,-5533.921875,-5478.8125
62,-5509.58203125,-5465.7705078125
63,-5451.0087890625,-5437.35986328125
64,-5536.6845703125,-5481.8857421875
65,-5523.13916015625,-5485.45166015625
66,-5527.58349609375,-5485.8876953125
67,-5540.0556640625,-5475.5693359375
68,-5579.75,-5522.529296875
69,-5485.38623046875,-5497.84130859375
70,-5492.51513671875,-5442.75244140625
71,-5550.80517578125,-5523.251953125
72,-5521.748046875,-5506.826171875
73,-5454.14013671875,-5467.0927734375
74,-5559.58935546875,-5474.67138671875
75,-5481.30126953125,-5471.951171875
76,-5597.7939453125,-5500.9521484375
77,-5569.57470703125,-5537.6298828125
78,-5513.2216796875,-5500.734375
79,-5512.56103515625,-5492.0888671875
80,-5550.7666015625,-5508.37158203125
81,-5612.02880859375,-5548.875
82,-5616.26318359375,-5534.5029296875
83,-5572.02197265625,-5534.27099609375
84,-5561.6103515625,-5507.91259765625
85,-5619.46044921875,-5577.66650390625
86,-5611.88525390625,-5544.50048828125
87,-5618.6640625,-5560.302734375
88,-5444.2021484375,-5459.56787109375
89,-5628.44580078125,-5546.3828125
90,-5612.8349609375,-5547.33447265625
91,-5545.478515625,-5503.25341796875
92,-5625.0859375,-5573.2392578125
93,-5580.97265625,-5536.3818359375
94,-5583.853515625,-5551.9267578125
95,-5618.41748046875,-5549.333984375
96,-5575.3828125,-5537.6181640625
97,-5646.05126953125,-5557.3388671875
98,-5611.275390625,-5575.42626953125
99,-5583.0810546875,-5569.5517578125
100,-5629.80517578125,-5562.15771484375
101,-5652.29150390625,-5603.44970703125
102,-5552.60009765625,-5502.56005859375
103,-5650.9892578125,-5605.79443359375
104,-5641.0791015625,-5601.27099609375
105,-5670.1376953125,-5594.52880859375
106,-5660.75048828125,-5585.529296875
107,-5670.82275390625,-5620.3544921875
108,-5652.49560546875,-5599.16162109375
109,-5684.3056640625,-5598.86669921875
110,-5641.95458984375,-5588.16845703125
111,-5623.4306640625,-5624.0537109375
112,-5661.70166015625,-5568.427734375
113,-5641.93115234375,-5592.8203125
114,-5671.73779296875,-5603.16357421875
115,-5654.1064453125,-5612.89794921875
116,-5713.412109375,-5643.955078125
117,-5709.171875,-5627.75390625
118,-5682.20361328125,-5631.12744140625
119,-5650.97314453125,-5595.5146484375
120,-5682.6298828125,-5627.5322265625
121,-5686.8056640625,-5605.38037109375
122,-5673.77685546875,-5636.25927734375
123,-5692.69921875,-5620.2548828125
124,-5713.09716796875,-5636.771484375
125,-5726.1630859375,-5653.69287109375
126,-5712.35595703125,-5631.5498046875
127,-5760.2021484375,-5672.45556640625
128,-5706.57177734375,-5660.0126953125
129,-5662.73876953125,-5641.302734375
130,-5737.4873046875,-5676.52685546875
131,-5656.67529296875,-5625.15234375
132,-5721.9208984375,-5644.83642578125
133,-5713.38623046875,-5662.7314453125
134,-5768.208984375,-5668.52197265625
135,-5721.80517578125,-5679.20361328125
136,-5745.67578125,-5663.82373046875
137,-5801.13720703125,-5705.0302734375
138,-5761.80908203125,-5696.7451171875
139,-5731.11279296875,-5690.46044921875
140,-5768.5341796875,-5674.08349609375
141,-5769.8046875,-5715.736328125
142,-5736.48974609375,-5667.404296875
143,-5762.0302734375,-5698.72900390625
144,-5750.24365234375,-5662.04736328125
145,-5772.21630859375,-5692.0673828125
146,-5746.126953125,-5689.41259765625
147,-5753.01318359375,-5679.45263671875
148,-5786.19580078125,-5720.72314453125
149,-5747.23046875,-5697.51171875
150,-5800.92724609375,-5728.8984375
151,-5801.95263671875,-5729.35693359375
152,-5801.5986328125,-5711.1904296875
153,-5769.21630859375,-5698.30322265625
154,-5818.751953125,-5742.5126953125
155,-5697.04638671875,-5651.7626953125
156,-5801.37353515625,-5743.59619140625
157,-5805.6796875,-5715.8486328125
158,-5821.7255859375,-5731.46484375
159,-5822.32080078125,-5751.32177734375
160,-5833.9228515625,-5729.90283203125
161,-5817.29345703125,-5726.08056640625
162,-5826.5615234375,-5735.017578125
163,-5866.35986328125,-5750.7451171875
164,-5779.55126953125,-5710.634765625
165,-5813.64453125,-5741.95166015625
166,-5863.1865234375,-5764.1796875
167,-5867.8828125,-5757.52978515625
168,-5798.73974609375,-5739.966796875
169,-5856.837890625,-5779.32421875
170,-5838.75830078125,-5723.98486328125
171,-5845.76708984375,-5770.5517578125
172,-5833.62255859375,-5739.70947265625
173,-5857.02783203125,-5790.248046875
174,-5840.15234375,-5749.7802734375
175,-5906.2724609375,-5783.205078125
176,-5812.189453125,-5731.419921875
177,-5846.3603515625,-5770.5537109375
178,-5875.4501953125,-5763.59326171875
179,-5885.81591796875,-5800.28564453125
180,-5852.029296875,-5751.9013671875
181,-5884.4501953125,-5814.458984375
182,-5897.60302734375,-5782.1318359375
183,-5909.39501953125,-5804.58447265625
184,-5883.5087890625,-5816.5576171875
185,-5895.48779296875,-5799.91650390625
186,-5904.7080078125,-5821.958984375
187,-5862.4599609375,-5778.20947265625
188,-5890.380859375,-5796.7451171875
189,-5870.509765625,-5769.6943359375
190,-5923.06787109375,-5826.9306640625
191,-5952.9482421875,-5825.14697265625
192,-5933.904296875,-5810.6875
193,-5875.5390625,-5803.244140625
194,-5922.888671875,-5808.609375
195,-5904.14306640625,-5805.19140625
196,-5908.2607421875,-5830.59619140625
197,-5938.59228515625,-5832.55419921875
198,-5910.14208984375,-5814.64306640625
199,-5941.03857421875,-5847.81591796875
200,-5928.50537109375,-5836.408203125
201,-5929.12451171875,-5849.60595703125
202,-5971.28369140625,-5855.67919921875
203,-5945.71484375,-5837.26513671875
204,-5955.0859375,-5842.8505859375
205,-5941.908203125,-5846.21142578125
206,-5948.85400390625,-5834.91943359375
207,-5978.9619140625,-5866.53955078125
208,-5959.3544921875,-5866.55712890625
209,-6002.46142578125,-5880.03076171875
210,-5941.94091796875,-5842.5087890625
211,-5937.255859375,-5867.1103515625
212,-5977.56640625,-5865.53173828125
213,-5967.00341796875,-5862.9619140625
214,-5923.23388671875,-5807.58642578125
215,-5984.88720703125,-5897.08642578125
216,-5986.1953125,-5873.935546875
